yearDay,greg,heb,parasha,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39
11,2026-09-21,10 Tishrei,Bereshit,Torah 15 · KST צוואה · Lo Taaseh 22–23,כ Kaf · כב · set 1 · day 11 of 22,Netzach shebeGevurah · shebeChesed · day 11 of 49,לאו · 11 of 72 · אֶלְיָשִׁיב 11 · יְבָרֶכְךָ,Fall · 11 of 91 · Ratzo · F1 letter 11 · Eicha 1:11 · כ,1st cycle 1 · day 11 of 13 · Mi-El Kamocha,Cycle 1 · day 11 of 41 · Ruach 1 of 10 · I Am the Lord,OC 21–22 · Orach Chaim · 21 of 728,Bereshit · D2 · P1 · C1,set 1 · 11/28 · Phylacteries 5–6,Torah 15 · Zohar I 23–24,צוואה · Bereshit,Lo Taaseh 22–23,Torah Ohr · Folio 10 · day 11 of 364,Prayer 5 — second half · day 11 of 364,Peah 8 &amp; Demai 1 · Week 2 · Day 4,Joshua 21 & 22 · Week 2 · Day 4,Chapter 1 · cycle 1 · day 11 of 13,Sichos HaRan · §11 of 308 · day 11 of 369,OC 21–22 · half-days 21 & 22,Bereshit,Rav Pe’alim · Vol I · Index 3 · Vol I · Index 4,Overview · day 11 of 13,"All twelve · Mivtza Chinuch, 5736",Phylacteries 5–6,Brachot · 1a · Rosh Hashanah,Purim · Children,Story 1 · 2 · Bereshit,Bekhorot 3 · בְּכוֹרוֹת,Class 10 · of 118,Bereshit · Day 2,Day 11 · of 369,Chapter 1 · cycle 1,The Garden of Emuna · cycle 1 of 13,Phase 1 · day 11 of 13,Gate 31 · Gate 32 · Ohr Ne’erav I · day 11 of 13,Shevuot · Nedarim · Nezirut · set 1 of 14 · day 11 of 28,Bekhorot 3 · review,Story 11 · Parshat Bereshit
12,2026-09-22,11 Tishrei,Bereshit,Torah 16 · KST § 1 (p. 4) · Lo Taaseh 21–24,ל Lamed · לא · set 1 · day 12 of 22,Hod shebeGevurah · shebeChesed · day 12 of 49,ההע · 12 of 72 · יָקִים 12 · יְבָרֶכְךָ,Fall · 12 of 91 · Ratzo · F1 letter 12 · Eicha 1:12 · ל,1st cycle 1 · day 12 of 13 · Mi-El Kamocha,Cycle 1 · day 12 of 41 · Ruach 2 of 10 · No Other Gods,OC 23–24 · Orach Chaim · 23 of 728,Bereshit · D3 · P1 · C1,set 1 · 12/28 · Phylacteries 7 · Morning Blessings 1,Torah 16 · Zohar I 25–26,§ 1 (p. 4) · Bereshit,Lo Taaseh 21–24,Torah Ohr · Folio 11 · day 12 of 364,Prayer 6 — first half · day 12 of 364,Demai 2 & 3 · Week 2 · Day 5,Joshua 23 & 24 · Week 2 · Day 5,Chapter 1 · cycle 1 · day 12 of 13,Sichos HaRan · §12 of 308 · day 12 of 369,OC 23–24 · half-days 23 & 24,Bereshit,Rav Pe’alim · Vol I · Orach Chayim 1 · Vol I · Orach Chayim 2,Se’if א׳ · day 12 of 13,תּוֹרָה צִוָה לָנוּ מֹשֶׁה מוֹרָשָׁה קְהִלַת יַעֲקֹב · דברים לג:ד,Phylacteries 7 · Morning Blessings 1,Shabbat · 1b · Yom Kippur,Purim · Children,Story 1 · 2 · Bereshit,Bekhorot 4 · בְּכוֹרוֹת,Class 11 · of 118,Bereshit · Day 3,Day 12 · of 369,Chapter 1 · cycle 1,The Garden of Emuna · cycle 1 of 13,Phase 1 · day 12 of 13,Ohr Ne’erav II · Ohr Ne’erav III · Ohr Ne’erav IV · day 12 of 13,Erchin v'Charamin · Kilayim · Matnot Aniyim · set 1 of 14 · day 12 of 28,Bekhorot 4 · review,Story 12 · Parshat Bereshit
13,2026-09-23,12 Tishrei,Bereshit,Torah 17 · KST § 2 (p. 5) · Lo Taaseh 25–26,מ Mem · מב · set 1 · day 13 of 22,Yesod shebeGevurah · shebeChesed · day 13 of 49,יזל · 13 of 72 · חֻפָּה 13 · יְבָרֶכְךָ,Fall · 13 of 91 · Ratzo · F1 letter 13 · Eicha 1:13 · מ,1st cycle 1 · day 13 of 13 · Mi-El Kamocha,Cycle 1 · day 13 of 41 · Ruach 3 of 10 · Not to Profane G-d's Name,OC 25–26 · Orach Chaim · 25 of 728,Bereshit · D4 · P1 · C1,set 1 · 13/28 · Morning Blessings 2–3,Torah 17 · Zohar I 27–28,§ 2 (p. 5) · Bereshit,Lo Taaseh 25–26,Torah Ohr · Folio 12 · day 13 of 364,Prayer 6 — second half · day 13 of 364,"Tosefta Peah 3, 4 &amp; Tosefta Demai 1, 2 · Week 2 · Day 6",Judges 1 & 2 · Week 2 · Day 6,Chapter 1 · cycle 1 · day 13 of 13,Sichos HaRan · §13 of 308 · day 13 of 369,OC 25–26 · half-days 25 & 26,Bereshit,Rav Pe’alim · Vol I · Orach Chayim 3 · Vol I · Orach Chayim 4,Se’if ב׳ · day 13 of 13,שְׁמַע יִשְׂרָאֵל ה׳ אֶלֹקֵינוּ ה׳ אֶחָד · דברים ו:ד,Morning Blessings 2–3,Shabbat · 1b · Yom Kippur,Purim · Children,Story 1 · 2 · Bereshit,Bekhorot 5 · בְּכוֹרוֹת,Class 12 · of 118,Bereshit · Day 4,Day 13 · of 369,Chapter 1 · cycle 1,The Garden of Emuna · cycle 1 of 13,Phase 1 · day 13 of 13,Ohr Ne’erav V · Ohr Ne’erav VI · Ohr Ne’erav VII · day 13 of 13,Terumot · Ma'aserot · Ma'aser Sheni v'Neta Revai · set 1 of 14 · day 13 of 28,Bekhorot 5 · review,Story 13 · Parshat Bereshit
14,2026-09-24,13 Tishrei,Bereshit,Torah 18 · KST § 3 (p. 7) · Lo Taaseh 24–27,נ Nun · נא · set 1 · day 14 of 22,Malchut shebeGevurah · shebeChesed · day 14 of 49,מבה · 14 of 72 · יֶשֶׁבְאָב 14 · יְבָרֶכְךָ,Fall · 14 of 91 · Ratzo · F1 letter 14 · Eicha 1:14 · נ,1st cycle 2 · day 1 of 13 · Noseh Avon,Cycle 1 · day 14 of 41 · Ruach 4 of 10 · The Sabbath,OC 27–28 · Orach Chaim · 27 of 728,Bereshit · D5 · P1 · C1,set 1 · 14/28 · Morning Blessings 4–5,Torah 18 · Zohar I 29–32,§ 3 (p. 7) · Bereshit,Lo Taaseh 24–27,Torah Ohr · Folio 13 · day 14 of 364,Prayer 7 — first half · day 14 of 364,"Tosefta Demai 3, 4, 5, 6 · Week 2 · Day 7",Judges 3 & 4 · Week 2 · Day 7,Chapter 2 · cycle 2 · day 1 of 13,Sichos HaRan · §14 of 308 · day 14 of 369,OC 27–28 · half-days 27 & 28,Bereshit,Rav Pe’alim · Vol I · Orach Chayim 5 · Vol I · Orach Chayim 6,Se’if ג׳ · day 1 of 13,"בְּכָל דוֹר וָדוֹר חַיָיב אָדָם לִרְאוֹת אֶת עַצְמוֹ כְּאִלוּ הוּא יָצָא מִמִצְרָיִם · פסחים קטז,ב",Morning Blessings 4–5,Shabbat · 1b · Yom Kippur,Purim · Children,Story 1 · 2 · Bereshit,Bekhorot 6 · בְּכוֹרוֹת,Class 13 · of 118,Bereshit · Day 5,Day 14 · of 369,Chapter 2 · cycle 2,The Garden of Peace · cycle 2 of 13,Phase 2 · day 1 of 13,Gate 1 · Gate 2 · Gate 3 · day 1 of 13,Bikkurim · Shemitah v'Yovel · Beit HaBechirah · set 1 of 14 · day 14 of 28,Bekhorot 6 · review,Story 14 · Parshat Bereshit
15,2026-09-25,14 Tishrei,Bereshit,Torah 19 · KST § 4 (p. 8) · Lo Taaseh 28–29,ס Samech · סב · set 1 · day 15 of 22,Chesed shebeTiferet · shebeChesed · day 15 of 49,הרי · 15 of 72 · בִּלְגָּה 15 · יְבָרֶכְךָ,Fall · 15 of 91 · Ratzo · F1 letter 15 · Eicha 1:15 · ס,1st cycle 2 · day 2 of 13 · Noseh Avon,Cycle 1 · day 15 of 41 · Ruach 5 of 10 · Honor Parents,OC 29–30 · Orach Chaim · 29 of 728,Bereshit · D6 · P1 · C1,set 1 · 15/28 · Torah Blessings 1 · Kaddish 1,Torah 19 · Zohar I 33–34,§ 4 (p. 8) · Bereshit,Lo Taaseh 28–29,Torah Ohr · Folio 14 · day 15 of 364,Prayer 7 — second half · day 15 of 364,Demai 4 & 5 · Week 3 · Day 1,Judges 5 & 6 · Week 3 · Day 1,Chapter 2 · cycle 2 · day 2 of 13,Sichos HaRan · §15 of 308 · day 15 of 369,OC 29–30 · half-days 29 & 30,Bereshit,Ben Ish Chai · Halachot,Se’if ד׳ · day 2 of 13,"כָּל יִשְׂרָאֵל יֵשׁ לָהֶם חֵלֶק לְעוֹלָם הַבָּא שֶׁנֶאֱמַר וְעַמֵךְ כּוּלָם צַדִיקִים לְעוֹלָם יִירְשׁוּ אָרֶץ נֵצֶר מַטָעַי מַעֲשֵׂה יָדַי לְהִתְפָּאֵר · סנהדרין צ,א",Torah Blessings 1 · Kaddish 1,Shabbat · 1b · Yom Kippur,Purim · Children,Story 1 · 2 · Bereshit,Bekhorot 7 · בְּכוֹרוֹת,Class 14 · of 118,Bereshit · Day 6,Day 15 · of 369,Chapter 2 · cycle 2,The Garden of Peace · cycle 2 of 13,Phase 2 · day 2 of 13,Gate 4 · Gate 5 · Gate 6 · day 2 of 13,Klei HaMikdash · Biat HaMikdash · Issurei Mizbe'ach · set 1 of 14 · day 15 of 28,Bekhorot 7 · review,Story 15 · Parshat Bereshit
16,2026-09-26,15 Tishrei,Bereshit,Torah 20 · KST § 5–6 (p. 8) · Lo Taaseh 27–30,ע Ayin · עא · set 1 · day 16 of 22,Gevurah shebeTiferet · shebeChesed · day 16 of 49,הקם · 16 of 72 · אִמֵּר 16 · יְבָרֶכְךָ,Fall · 16 of 91 · Ratzo · F1 letter 16 · Eicha 1:16 · ע,1st cycle 2 · day 3 of 13 · Noseh Avon,Cycle 1 · day 16 of 41 · Ruach 6 of 10 · Do Not Murder,OC 31–32 · Orach Chaim · 31 of 728,Bereshit · D7 · P1 · C1,set 1 · 16/28 · Reciting Shema 1–2 · Bereshit,Torah 20 · Zohar I 35–36,§ 5–6 (p. 8) · Bereshit,Lo Taaseh 27–30,Torah Ohr · Folio 15 · day 16 of 364,Prayer 8 — first half · day 16 of 364,Demai 6 & 7 · Week 3 · Day 2,Judges 7 & 8 · Week 3 · Day 2,Chapter 2 · cycle 2 · day 3 of 13,Sichos HaRan · §16 of 308 · day 16 of 369,OC 31–32 · half-days 31 & 32,Bereshit,Ben Ish Chai · Drash · Bereshit · Drash,Se’if ה׳ · day 3 of 13,כִּי קָרוֹב אֵלֶיךָ הַדָבָר מְאֹד בְּפִיךָ וּבִּלְבָבְךָ לַעֲשׂוֹתוֹ · דברים ל:יד,Reciting Shema 1–2,Shabbat · 1b · Yom Kippur,Purim · Children,Story 1 · 2 · Bereshit,Bekhorot 8 · בְּכוֹרוֹת,Class 15 · of 118,Sefer Yetzirah · 1:1,Day 16 · of 369,Chapter 2 · cycle 2,The Garden of Peace · cycle 2 of 13,Phase 2 · day 3 of 13,Gate 7 · Gate 8 · Gate 9 · day 3 of 13,Ma'aseh HaKorbanot · Temidin u'Musafin · Pesulei HaMukdash · set 1 of 14 · day 16 of 28,Bekhorot 8 · review,Story 16 · Parshat Bereshit
17,2026-09-27,16 Tishrei,Bereshit,Torah 21 · KST הסכמה · Lo Taaseh 31–32,פ Peh · פב · set 1 · day 17 of 22,Tiferet shebeTiferet · shebeChesed · day 17 of 49,לאו · 17 of 72 · חֵזִיר 17 · יְבָרֶכְךָ,Fall · 17 of 91 · Ratzo · F1 letter 17 · Eicha 1:17 · פ,1st cycle 2 · day 4 of 13 · Noseh Avon,Cycle 1 · day 17 of 41 · Ruach 7 of 10 · Faithfulness,OC 33–34 · Orach Chaim · 33 of 728,Bereshit · D1 · P1 · C1,set 1 · 17/28 · Reciting Shema 3–4,Torah 21 · Zohar I 37–38,הסכמה · Bereshit,Lo Taaseh 31–32,Torah Ohr · Folio 16 · day 17 of 364,Prayer 8 — second half · day 17 of 364,Kilayim 1 & 2 · Week 3 · Day 3,Judges 9 & 10 · Week 3 · Day 3,Chapter 2 · cycle 2 · day 4 of 13,Sichos HaRan · §17 of 308 · day 17 of 369,OC 33–34 · half-days 33 & 34,Bereshit,Rav Pe’alim · Vol I · Index 1 · Vol I · Index 2,Se’if ו׳ · day 4 of 13,וְהִנֵה ה׳ נִצָב עָלָיו וּמְלֹא כָל הָאָרֶץ כּבוֹדוֹ וּמַבִּיט עָלָיו וּבוֹחֵן כְּלָיוֹת וָלֵב אִם עוֹבְדוֹ כָּרָאוּי · תניא פרק מא,Reciting Shema 3–4,Shabbat · 1b · Yom Kippur,Purim · Children,Story 1 · 2 · Bereshit,Bekhorot 9 · בְּכוֹרוֹת,Class 16 · of 118,Bereshit · Day 1,Day 17 · of 369,Chapter 2 · cycle 2,The Garden of Peace · cycle 2 of 13,Phase 2 · day 4 of 13,Gate 10 · Gate 11 · Gate 12 · day 4 of 13,Avodat Yom HaKippurim · Me'ilah · Korban Pesach · set 1 of 14 · day 17 of 28,Bekhorot 9 · review,Story 17 · Parshat Bereshit
18,2026-09-28,17 Tishrei,Bereshit,Torah 22 · KST צוואה · Lo Taaseh 30–33,צ Tzaddik · צא · set 1 · day 18 of 22,Netzach shebeTiferet · shebeChesed · day 18 of 49,כלי · 18 of 72 · הַפִּצֵּץ 18 · יְבָרֶכְךָ,Fall · 18 of 91 · Ratzo · F1 letter 18 · Eicha 1:18 · צ,1st cycle 2 · day 5 of 13 · Noseh Avon,Cycle 1 · day 18 of 41 · Ruach 8 of 10 · Do Not Steal,OC 35–36 · Orach Chaim · 35 of 728,Bereshit · D2 · P1 · C1,set 1 · 18/28 · Reciting Shema 5 · Prayer 1,Torah 22 · Zohar I 39–40,צוואה · Bereshit,Lo Taaseh 30–33,Torah Ohr · Folio 17 · day 18 of 364,Prayer 9 — first half · day 18 of 364,Kilayim 3 & 4 · Week 3 · Day 4,Judges 11 & 12 · Week 3 · Day 4,Chapter 2 · cycle 2 · day 5 of 13,Sichos HaRan · §18 of 308 · day 18 of 369,OC 35–36 · half-days 35 & 36,Bereshit,Rav Pe’alim · Vol I · Index 3 · Vol I · Index 4,Se’if ז׳ · day 5 of 13,בְּרֵאשִׁית בָּרָא אֶלֹקִים אֵת הַשָׁמַיִם וְאֵת הָאָרֶץ · בראשית א:א,Reciting Shema 5 · Prayer 1,Shabbat · 1b · Yom Kippur,Purim · Children,Story 1 · 2 · Bereshit,Bekhorot 10 · בְּכוֹרוֹת,Class 17 · of 118,Bereshit · Day 2,Day 18 · of 369,Chapter 2 · cycle 2,The Garden of Peace · cycle 2 of 13,Phase 2 · day 5 of 13,Gate 13 · Gate 14 · Gate 15 · day 5 of 13,Chagigah · Bechorot · Shegagot · set 1 of 14 · day 18 of 28,Bekhorot 10 · review,Story 18 · Parshat Bereshit
19,2026-09-29,18 Tishrei,Bereshit,Torah 23 · KST § 1 (p. 4) · Lo Taaseh 34–35,ק Kuf · קב · set 1 · day 19 of 22,Hod shebeTiferet · shebeChesed · day 19 of 49,לוו · 19 of 72 · פְּתַחְיָה 19 · יְבָרֶכְךָ,Fall · 19 of 91 · Ratzo · F1 letter 19 · Eicha 1:19 · ק,1st cycle 2 · day 6 of 13 · Noseh Avon,Cycle 1 · day 19 of 41 · Ruach 9 of 10 · Truth / No False Witness,OC 37–38 · Orach Chaim · 37 of 728,Bereshit · D3 · P1 · C1,set 1 · 19/28 · Prayer 2–3,Torah 23 · Zohar I 41–42,§ 1 (p. 4) · Bereshit,Lo Taaseh 34–35,Torah Ohr · Folio 18 · day 19 of 364,Prayer 9 — second half · day 19 of 364,Kilayim 5 & 6 · Week 3 · Day 5,Judges 13 & 14 · Week 3 · Day 5,Chapter 2 · cycle 2 · day 6 of 13,Sichos HaRan · §19 of 308 · day 19 of 369,OC 37–38 · half-days 37 & 38,Bereshit,Rav Pe’alim · Vol I · Orach Chayim 1 · Vol I · Orach Chayim 2,Se’if ח׳ · day 6 of 13,וְשִׁנַנְתָּם לְבָנֶיךָ וְדִבַּרְתָּ בָּם בְּשִׁבְתְּךָ בְּבֵיתֶךָ וּבְלֶכְתְּךָ בַדֶרֶךְ וּבְשָׁכְבְּךָ וּבְקוּמֶךָ · דברים ו:ז,Prayer 2–3,Shabbat · 1b · Yom Kippur,Purim · Children,Story 1 · 2 · Bereshit,Bekhorot 11 · בְּכוֹרוֹת,Class 18 · of 118,Bereshit · Day 3,Day 19 · of 369,Chapter 2 · cycle 2,The Garden of Peace · cycle 2 of 13,Phase 2 · day 6 of 13,Gate 16 · Gate 17 · Gate 18 · day 6 of 13,Mechusrei Kapparah · Temurah · Tumat Met · set 1 of 14 · day 19 of 28,Bekhorot 11 · review,Story 19 · Parshat Bereshit
20,2026-09-30,19 Tishrei,Bereshit,Torah 24 · KST § 2 (p. 5) · Lo Taaseh 33–36,ר Reish · רא · set 1 · day 20 of 22,Yesod shebeTiferet · shebeChesed · day 20 of 49,פהל · 20 of 72 · יְחֶזְקֵאל 20 · יְבָרֶכְךָ,Fall · 20 of 91 · Ratzo · F1 letter 20 · Eicha 1:20 · ר,1st cycle 2 · day 7 of 13 · Noseh Avon,Cycle 1 · day 20 of 41 · Ruach 10 of 10 · Do Not Covet,OC 39–40 · Orach Chaim · 39 of 728,Bereshit · D4 · P1 · C1,set 1 · 20/28 · Prayer 4–5,Torah 24 · Zohar I 43–44,§ 2 (p. 5) · Bereshit,Lo Taaseh 33–36,Torah Ohr · Folio 19 · day 20 of 364,Prayer 10 — first half · day 20 of 364,"Tosefta Demai 7, 8 &amp; Tosefta Kilayim 1, 2 · Week 3 · Day 6",Judges 15 & 16 · Week 3 · Day 6,Chapter 2 · cycle 2 · day 7 of 13,Sichos HaRan · §20 of 308 · day 20 of 369,OC 39–40 · half-days 39 & 40,Bereshit,Rav Pe’alim · Vol I · Orach Chayim 3 · Vol I · Orach Chayim 4,Se’if ט׳ · day 7 of 13,"יָגַעְתִּי וְלֹא מָצָאתִי אַל תַּאַמִין לֹא יָגַעְתִּי וּמָצָאתִי אַל תַּאַמִין יָגַעְתִּי וּמָצָאתִי תַּאַמִין · מגילה ו,ב",Prayer 4–5,Shabbat · 1b · Yom Kippur,Purim · Children,Story 1 · 2 · Bereshit,Bekhorot 12 · בְּכוֹרוֹת,Class 19 · of 118,Bereshit · Day 4,Day 20 · of 369,Chapter 2 · cycle 2,The Garden of Peace · cycle 2 of 13,Phase 2 · day 7 of 13,Gate 19 · Gate 20 · Gate 21 · day 7 of 13,Parah Adumah · Tumat Tzara'at · Metamei Mishkav u'Moshav · set 1 of 14 · day 20 of 28,Bekhorot 12 · review,Story 20 · Parshat Bereshit
21,2026-10-01,20 Tishrei,Bereshit,Torah 25 · KST § 3 (p. 7) · Lo Taaseh 37–38,ש Shin · שב · set 1 · day 21 of 22,Malchut shebeTiferet · shebeChesed · day 21 of 49,נלך · 21 of 72 · יָכִין 21 · יְבָרֶכְךָ,Fall · 21 of 91 · Ratzo · F1 letter 21 · Eicha 1:21 · ש,1st cycle 2 · day 8 of 13 · Noseh Avon,Cycle 1 · day 21 of 41 · Neshamah 1 of 10 · I Am the Lord,OC 41–42 · Orach Chaim · 41 of 728,Bereshit · D5 · P1 · C1,set 1 · 21/28 · Priestly Blessings 1–2,Torah 25 · Zohar I 45–48,§ 3 (p. 7) · Bereshit,Lo Taaseh 37–38,Torah Ohr · Folio 20 · day 21 of 364,Prayer 10 — second half · day 21 of 364,"Tosefta Kilayim 3, 4, 5 &amp; Tosefta Shvi'it 1 · Week 3 · Day 7",Judges 17 & 18 · Week 3 · Day 7,Chapter 2 · cycle 2 · day 8 of 13,Sichos HaRan · §21 of 308 · day 21 of 369,OC 41–42 · half-days 41 & 42,Bereshit,Rav Pe’alim · Vol I · Orach Chayim 5 · Vol I · Orach Chayim 6,Se’if י׳ · day 8 of 13,וְאָהַבְתָּ לְרֵעַךָ כָּמוֹךָ – רַבִּי עַקִיבָא אוֹמֵר זֶה כְּלָל גָדוֹל בַּתּוֹרָה · ויקרא יט:יח,Priestly Blessings 1–2,Shabbat · 1b · Yom Kippur,Purim · Children,Story 1 · 2 · Bereshit,Bekhorot 13 · בְּכוֹרוֹת,Class 20 · of 118,Bereshit · Day 5,Day 21 · of 369,Chapter 2 · cycle 2,The Garden of Peace · cycle 2 of 13,Phase 2 · day 8 of 13,Gate 22 · Gate 23 · Gate 24 · day 8 of 13,She'ar Avot HaTumot · Tumat Ochlin · Kelim · set 1 of 14 · day 21 of 28,Bekhorot 13 · review,Story 21 · Parshat Bereshit
22,2026-10-02,21 Tishrei,Bereshit,Torah 26 · KST § 4 (p. 8) · Lo Taaseh 36–39,ת Tav · תא · set 1 · day 22 of 22,Chesed shebeNetzach · shebeChesed · day 22 of 49,ייי · 22 of 72 · גָּמוּל 22 · יְבָרֶכְךָ,Fall · 22 of 91 · Ratzo · F1 letter 22 · Eicha 1:22 · ת,1st cycle 2 · day 9 of 13 · Noseh Avon,Cycle 1 · day 22 of 41 · Neshamah 2 of 10 · No Other Gods,OC 43–44 · Orach Chaim · 43 of 728,Bereshit · D6 · P1 · C1,set 1 · 22/28 · Priestly Blessings 3–4,Torah 26 · Zohar I 49–50,§ 4 (p. 8) · Bereshit,Lo Taaseh 36–39,Torah Ohr · Folio 21 · day 22 of 364,Prayer 11 — first half · day 22 of 364,Kilayim 7 & 8 · Week 4 · Day 1,Judges 19 & 20 · Week 4 · Day 1,Chapter 2 · cycle 2 · day 9 of 13,Sichos HaRan · §22 of 308 · day 22 of 369,OC 43–44 · half-days 43 & 44,Bereshit,Ben Ish Chai · Halachot,Se’if י״א · day 9 of 13,וְזֶה כָּל הָאָדָם וְתַכְלִית בְּרִיאָתוֹ וּבְרִיאַת כָּל הָעוֹלָמוֹת עֶלְיוֹנִים וְתַּחְתּוֹנִים לִהְיוֹת לוֹ דִירָה זוֹ בְּתַּחְתּוֹנִים · תניא פרק לג,Priestly Blessings 3–4,Shabbat · 1b · Yom Kippur,Purim · Children,Story 1 · 2 · Bereshit,Bekhorot 14 · בְּכוֹרוֹת,Class 21 · of 118,Bereshit · Day 6,Day 22 · of 369,Chapter 2 · cycle 2,The Garden of Peace · cycle 2 of 13,Phase 2 · day 9 of 13,Gate 25 · Gate 26 · Gate 27 · day 9 of 13,Mikvaot · Nizkei Mamon · Genevah · set 1 of 14 · day 22 of 28,Bekhorot 14 · review,Story 22 · Parshat Bereshit
23,2026-10-03,22 Tishrei,Bereshit,Torah 27 · KST § 5–6 (p. 8) · Lo Taaseh 40–41,א Alef · גא · set 2 · day 1 of 22,Gevurah shebeNetzach · shebeChesed · day 23 of 49,מלה · 23 of 72 · דְּלָיָהוּ 23 · יְבָרֶכְךָ,Fall · 23 of 91 · Right Kidney · Eicha 5,1st cycle 2 · day 10 of 13 · Noseh Avon,Cycle 1 · day 23 of 41 · Neshamah 3 of 10 · Not to Profane G-d's Name,OC 45–46 · Orach Chaim · 45 of 728,Bereshit · D7 · P1 · C1,set 1 · 23/28 · Priestly Blessings 5 · Tachanun 1 · Bereshit,Torah 27 · Zohar I 51–52,§ 5–6 (p. 8) · Bereshit,Lo Taaseh 40–41,Torah Ohr · Folio 22 · day 23 of 364,Prayer 11 — second half · day 23 of 364,Kilayim 9 &amp; Shvi'it 1 · Week 4 · Day 2,Judges 21 &amp; Shmuel I 1 · Week 4 · Day 2,Chapter 2 · cycle 2 · day 10 of 13,Sichos HaRan · §23 of 308 · day 23 of 369,OC 45–46 · half-days 45 & 46,Bereshit,Ben Ish Chai · Drash · Bereshit · Drash,Se’if י״ב · day 10 of 13,יִשְׂמַח יִשְׂרָאֵל בְּעוֹשָׂיו פֵּירוּש שֶׁכָּל מִי שֶׁהוּא מִזֶרַע יִשְׂרָאֵל יֵשׁ לוֹ לִשְׂמוֹחַ בְּשִׂמְחַת ה׳ אַשֶׁר שָׂשׂ וְשָׂמֵחַ בְּדִירָתוֹ בְּתַּחְתּוֹנִים · תניא פרק לג,Priestly Blessings 5 · Tachanun 1,Eruvim · 2a · Sukkot,Purim · Children,Story 1 · 2 · Bereshit,Bekhorot 15 · בְּכוֹרוֹת,Class 22 · of 118,Sefer Yetzirah · 1:1,Day 23 · of 369,Chapter 2 · cycle 2,The Garden of Peace · cycle 2 of 13,Phase 2 · day 10 of 13,Gate 28 · Gate 29 · Gate 30 · day 10 of 13,Gezelah v'Avedah · Chovel u'Mazik · Rotze'ach u'Shmirat Ne · set 1 of 14 · day 23 of 28,Bekhorot 15 · review,Story 23 · Parshat Bereshit
24,2026-10-04,23 Tishrei,Bereshit,Torah 28 · KST הסכמה · Lo Taaseh 39–42,ב Bet · דב · set 2 · day 2 of 22,Tiferet shebeNetzach · shebeChesed · day 24 of 49,חהו · 24 of 72 · מַעַזְיָהוּ 24 · יְבָרֶכְךָ,Fall · 24 of 91 · Ratzo · F2 letter 1 · Eicha 2:1 · א,1st cycle 2 · day 11 of 13 · Noseh Avon,Cycle 1 · day 24 of 41 · Neshamah 4 of 10 · The Sabbath,OC 47–48 · Orach Chaim · 47 of 728,Bereshit · D1 · P1 · C1,set 1 · 24/28 · Tachanun 2–3,Torah 28 · Zohar I 53–54,הסכמה · Bereshit,Lo Taaseh 39–42,Torah Ohr · Folio 23 · day 24 of 364,Prayer 12 — first half · day 24 of 364,Shvi'it 2 & 3 · Week 4 · Day 3,Shmuel I 2 & 3 · Week 4 · Day 3,Chapter 2 · cycle 2 · day 11 of 13,Sichos HaRan · §24 of 308 · day 24 of 369,OC 47–48 · half-days 47 & 48,Bereshit,Rav Pe’alim · Vol I · Index 1 · Vol I · Index 2,Overview · day 11 of 13,"All twelve · Mivtza Chinuch, 5736",Tachanun 2–3,Eruvim · 2a · Sukkot,Purim · Children,Story 1 · 2 · Bereshit,Bekhorot 16 · בְּכוֹרוֹת,Class 23 · of 118,Bereshit · Day 1,Day 24 · of 369,Chapter 2 · cycle 2,The Garden of Peace · cycle 2 of 13,Phase 2 · day 11 of 13,Gate 31 · Gate 32 · Ohr Ne’erav I · day 11 of 13,Mechirah · Zechiyah u'Matanah · Shecheinim · set 1 of 14 · day 24 of 28,Bekhorot 16 · review,Story 24 · Parshat Bereshit
